date,1a. open (EUR),2a. high (EUR),3a. low (EUR),4a. close (EUR),5. volume
2023-05-30 10:00:00,26051.71,26166.83,26031.12,26048.32,49.85845
2023-05-30 11:00:00,26051.41,26152.23,26006.37,26128.94,44.79223
2023-05-30 12:00:00,26127.35,26134.1,25940.53,26076.99,48.25665
2023-05-30 13:00:00,26076.99,26132.24,25942.26,25973.8,68.81098
2023-05-30 14:00:00,25973.8,26032.83,25795.87,25796.0,70.93983
2023-05-30 15:00:00,25796.0,25918.67,25789.48,25862.39,38.45592
2023-05-30 16:00:00,25862.26,25924.98,25750.0,25903.78,40.29632
2023-05-30 17:00:00,25903.78,25975.03,25845.82,25910.69,40.06836
2023-05-30 18:00:00,25905.91,26001.99,25878.75,25975.0,20.72382
2023-05-30 19:00:00,25973.12,26040.85,25952.16,26038.24,19.2165
2023-05-30 20:00:00,26038.26,26042.81,25940.01,25944.21,25.12625
2023-05-30 21:00:00,25941.3,26023.38,25850.0,25908.0,19.79575
2023-05-30 22:00:00,25907.99,25939.96,25839.0,25917.74,16.32323
2023-05-30 23:00:00,25917.15,25924.99,25861.52,25871.01,16.86145
2023-05-31 00:00:00,25872.28,25928.96,25840.08,25928.96,9.41759
2023-05-31 01:00:00,25929.0,26004.06,25915.53,25963.0,10.3156
2023-05-31 02:00:00,25955.0,25955.0,25805.18,25923.34,19.68179
2023-05-31 03:00:00,25924.14,25953.0,25854.08,25917.09,11.23919
2023-05-31 04:00:00,25917.09,25922.77,25518.02,25533.86,71.82351
2023-05-31 05:00:00,25522.0,25549.05,25322.92,25374.08,86.8433
2023-05-31 06:00:00,25378.0,25502.63,25275.58,25476.4,51.63473
2023-05-31 07:00:00,25476.02,25550.0,25458.72,25515.04,30.40684
2023-05-31 08:00:00,25515.05,25563.03,25482.23,25524.96,31.04432
2023-05-31 09:00:00,25522.0,25528.99,25417.76,25497.79,44.25634
2023-05-31 10:00:00,25494.15,25507.63,25381.28,25398.57,33.58998
2023-05-31 11:00:00,25398.6,25433.19,25330.0,25409.0,49.19837
2023-05-31 12:00:00,25413.3,25444.08,25372.66,25414.01,32.2982
2023-05-31 13:00:00,25414.03,25524.1,25405.39,25429.81,67.75877
2023-05-31 14:00:00,25429.39,25463.49,25243.79,25427.05,118.27458
2023-05-31 15:00:00,25427.05,25451.99,25281.0,25318.76,44.59123
2023-05-31 16:00:00,25316.3,25413.57,25256.51,25371.24,39.22279
2023-05-31 17:00:00,25371.24,25466.36,25339.95,25431.77,36.34975
2023-05-31 18:00:00,25434.0,25448.72,25371.69,25395.26,27.08733
2023-05-31 19:00:00,25396.07,25460.04,25330.59,25347.35,50.2946
2023-05-31 20:00:00,25350.03,25431.47,25335.56,25429.13,32.07947
2023-05-31 21:00:00,25429.41,25439.74,25375.58,25419.26,15.91504
2023-05-31 22:00:00,25421.99,25499.99,25407.27,25490.63,29.8301
2023-05-31 23:00:00,25490.69,25583.0,25466.19,25514.83,17.4302
2023-06-01 00:00:00,25516.9,25643.45,25350.01,25378.54,28.26168
2023-06-01 01:00:00,25386.0,25482.99,25381.55,25400.39,21.39583
2023-06-01 02:00:00,25400.01,25426.61,24997.0,25063.39,63.63694
2023-06-01 03:00:00,25054.19,25170.0,24960.0,25122.24,58.49146
2023-06-01 04:00:00,25120.68,25166.24,25097.55,25159.31,27.38535
2023-06-01 05:00:00,25157.97,25225.69,25144.59,25216.81,26.10624
2023-06-01 06:00:00,25220.31,25248.57,25141.51,25141.51,37.73727
2023-06-01 07:00:00,25141.73,25239.36,25120.0,25195.86,35.17822
2023-06-01 08:00:00,25193.09,25278.6,25180.67,25260.16,35.83859
2023-06-01 09:00:00,25263.69,25281.9,25195.5,25201.61,33.90441
2023-06-01 10:00:00,25201.6,25209.9,25142.91,25142.91,29.57988
2023-06-01 11:00:00,25150.06,25174.07,25121.38,25160.76,25.29016
2023-06-01 12:00:00,25160.76,25235.89,25100.45,25217.72,65.6312
2023-06-01 13:00:00,25217.51,25241.15,25106.14,25120.03,49.54821
2023-06-01 14:00:00,25120.01,25207.1,25081.85,25127.59,46.82648
2023-06-01 15:00:00,25127.54,25159.23,25059.11,25079.38,50.18034
2023-06-01 16:00:00,25079.4,25306.14,24977.01,25237.35,68.75342
2023-06-01 17:00:00,25237.87,25276.82,25076.43,25114.19,58.84117
2023-06-01 18:00:00,25110.76,25188.2,25087.89,25128.15,39.08028
2023-06-01 19:00:00,25128.16,25142.49,24848.09,25025.31,69.78124
2023-06-01 20:00:00,25029.88,25076.35,25002.26,25030.02,22.64329
2023-06-01 21:00:00,25031.62,25109.45,25031.62,25061.86,20.72928
2023-06-01 22:00:00,25061.78,25075.49,25020.09,25046.84,21.9318
2023-06-01 23:00:00,25046.84,25049.2,24897.22,24991.26,29.27421
2023-06-02 00:00:00,24991.8,24996.15,24706.01,24958.5,86.64721
2023-06-02 01:00:00,24958.55,25015.18,24894.98,24971.96,28.82988
2023-06-02 02:00:00,24974.85,25125.99,24969.91,25104.44,23.69715
2023-06-02 03:00:00,25105.61,25143.62,25068.64,25126.93,14.5086
2023-06-02 04:00:00,25128.24,25249.7,25086.62,25209.15,30.30539
2023-06-02 05:00:00,25211.21,25328.15,25200.01,25282.67,30.48038
2023-06-02 06:00:00,25282.1,25282.4,25195.61,25199.73,20.70826
2023-06-02 07:00:00,25199.67,25245.63,25178.68,25192.84,20.00761
2023-06-02 08:00:00,25193.14,25294.55,25193.14,25288.34,30.26809
2023-06-02 09:00:00,25288.37,25304.41,25205.38,25219.3,27.29385
2023-06-02 10:00:00,25219.3,25232.68,25161.93,25194.62,23.94277
2023-06-02 11:00:00,25192.41,25269.89,25181.28,25231.75,26.62346
2023-06-02 12:00:00,25232.05,25340.11,25102.82,25259.4,78.05282
2023-06-02 13:00:00,25257.37,25261.16,25027.16,25093.34,72.87214
2023-06-02 14:00:00,25085.47,25213.77,25075.16,25207.36,62.09904
2023-06-02 15:00:00,25203.05,25344.98,25200.38,25335.03,33.27025
2023-06-02 16:00:00,25334.65,25362.51,25278.47,25316.91,29.58833
2023-06-02 17:00:00,25316.63,25346.23,25283.17,25314.05,25.25303
2023-06-02 18:00:00,25319.13,25442.17,25276.02,25441.39,17.14659
2023-06-02 19:00:00,25442.18,25532.27,25382.66,25482.39,32.36308
2023-06-02 20:00:00,25485.28,25522.66,25435.05,25436.03,16.32295
2023-06-02 21:00:00,25431.34,25499.67,25411.26,25465.0,12.63038
2023-06-02 22:00:00,25465.01,25549.99,25457.02,25523.57,12.95766
2023-06-02 23:00:00,25523.58,25532.06,25492.8,25504.45,8.80608
2023-06-03 00:00:00,25503.87,25506.22,25420.86,25432.81,5.64029
2023-06-03 01:00:00,25426.43,25451.86,25370.0,25398.31,4.79208
2023-06-03 02:00:00,25396.4,25430.72,25389.64,25408.68,3.68537
2023-06-03 03:00:00,25406.52,25432.01,25392.95,25400.95,2.47914
2023-06-03 04:00:00,25400.95,25428.29,25369.34,25414.85,4.5047
2023-06-03 05:00:00,25414.85,25430.59,25400.0,25416.3,3.82109
2023-06-03 06:00:00,25418.67,25469.99,25418.67,25436.99,5.34517
2023-06-03 07:00:00,25438.13,25460.13,25426.31,25433.6,6.33342
2023-06-03 08:00:00,25435.72,25447.28,25397.49,25407.81,10.14356
2023-06-03 09:00:00,25404.03,25414.65,25391.12,25412.25,5.33692
2023-06-03 10:00:00,25412.27,25436.64,25377.8,25399.46,9.26315
2023-06-03 11:00:00,25399.47,25433.02,25386.67,25402.06,7.01802
2023-06-03 12:00:00,25402.06,25439.35,25396.87,25432.87,6.96333
2023-06-03 13:00:00,25432.87,25452.38,25415.98,25437.25,8.29413
2023-06-03 14:00:00,25437.25,25466.73,25437.14,25439.64,7.47057
2023-06-03 15:00:00,25438.56,25576.63,25392.64,25557.52,22.35729
2023-06-03 16:00:00,25559.57,25565.99,25484.25,25503.81,14.41163
2023-06-03 17:00:00,25498.67,25510.83,25382.53,25418.3,16.20071
2023-06-03 18:00:00,25418.31,25441.4,25382.45,25406.17,9.9418
2023-06-03 19:00:00,25408.78,25419.64,25291.0,25355.53,21.97078
2023-06-03 20:00:00,25353.11,25385.77,25313.71,25321.35,10.43263
2023-06-03 21:00:00,25321.35,25339.51,25194.73,25276.08,20.29615
2023-06-03 22:00:00,25276.07,25348.43,25276.07,25338.5,5.82996
2023-06-03 23:00:00,25339.44,25352.56,25318.77,25337.5,4.3288
2023-06-04 00:00:00,25337.66,25338.45,25277.71,25285.03,5.59163
2023-06-04 01:00:00,25277.41,25342.09,25232.52,25301.07,8.94518
2023-06-04 02:00:00,25301.06,25353.47,25294.42,25340.55,5.33709
2023-06-04 03:00:00,25342.02,25342.15,25302.64,25315.68,4.602
2023-06-04 04:00:00,25323.63,25340.9,25300.01,25312.22,5.51266
2023-06-04 05:00:00,25309.81,25315.95,25282.25,25296.98,3.95522
2023-06-04 06:00:00,25296.98,25391.74,25290.56,25381.16,6.39072
2023-06-04 07:00:00,25385.15,25409.97,25375.28,25398.49,14.73472
2023-06-04 08:00:00,25398.68,25414.14,25378.07,25405.9,6.35331
2023-06-04 09:00:00,25406.99,25492.18,25406.99,25469.12,9.44761
2023-06-04 10:00:00,25468.13,25482.03,25432.94,25472.51,10.37041
2023-06-04 11:00:00,25474.93,25487.99,25429.06,25441.48,6.11664
2023-06-04 12:00:00,25441.46,25463.09,25413.16,25461.29,10.82252
2023-06-04 13:00:00,25461.28,25543.19,25450.61,25495.31,14.1196
